Ma bao|Ten cong bo|Tac gia|Tap chi|Thoi gian
ART1|tne bai moi|AU99|TCADCA|2021,
ART2|Danh gia tac dong cua cao chiet methanol|AU22|DTKHCN|2021,
ART3|Giai phap cong nghe ung dung hydrate biogas|AU6|DTKHCN|2021,
ART4|Thiet ke may ep vien nen nhien lieu RDF tu chat thai sinh hoat|AU6|DTKHCN|2021,
ART5|Cong nghe nap va luu tru nang luong tren xe may dien|AU6|DTKHCN|2021,
ART6|Power flow incorporating cost-based droop control|AU13|DTKHCN|2020,
ART7|Du doan luc can cho mo hinh tau KVLCC2|AU23|DTKHCN|2020,
ART8|Nhan dang su co tren luoi dien phan phoi dua tren TNTT|AU14|DTKHCN|2020,
ART9|Danh gia tac dong kinh te - xa hoi VTV quoc gia Nui Luot|AU8|TCKTDB|2019,
ART10|San xuat nong nghiep ung dung cong nghe cao o An Do|AU19|TCCSSK|2019,
ART11|Tac dong cua chuong trinh phat trien nong thon|AU21|KHCNLN|2017,
ART12|Thuc hien chinh sach Bao hiem xa hoi, bao hiem y te|AU21|KHCNLN|2017,
ART13|Vai tro cua nha nuoc trong phat trien nong nghiep nong thon|AU20|TCADCA|2018,
